seed,difficulty,regime,regime_level,response_mode,count_instruction,filter_instruction,text_input,count_prompt,filter_prompt,gold_count,gold_lines,target_definition,num_records,target_feature_count,target_count,active_fields,target_fields,irrelevant_noise_fields,same_color_wrong_shape_count,same_shape_wrong_color_count,same_core_wrong_marker_count,same_core_wrong_size_count,same_core_wrong_pattern_count,unrelated_count
6005,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | circle | 1 | small
red | triangle | 1 | medium
blue | square | 1 | small
blue | triangle | 0 | medium
blue | triangle | 0 | medium
green | triangle | 1 | small
red | circle | 0 | small
blue | square | 1 | large
blue | square | 1 | large
green | circle | 1 | medium
red | triangle | 1 | small
red | triangle | 0 | large
green | square | 0 | small
green | triangle | 1 | large
green | circle | 0 | medium
red | square | 1 | medium","Count the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

yellow | circle | 1 | small
red | triangle | 1 | medium
blue | square | 1 | small
blue | triangle | 0 | medium
blue | triangle | 0 | medium
green | triangle | 1 | small
red | circle | 0 | small
blue | square | 1 | large
blue | square | 1 | large
green | circle | 1 | medium
red | triangle | 1 | small
red | triangle | 0 | large
green | square | 0 | small
green | triangle | 1 | large
green | circle | 0 | medium
red | square | 1 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | circle | 1 | small
red | triangle | 1 | medium
blue | square | 1 | small
blue | triangle | 0 | medium
blue | triangle | 0 | medium
green | triangle | 1 | small
red | circle | 0 | small
blue | square | 1 | large
blue | square | 1 | large
green | circle | 1 | medium
red | triangle | 1 | small
red | triangle | 0 | large
green | square | 0 | small
green | triangle | 1 | large
green | circle | 0 | medium
red | square | 1 | medium",3,"[3, 8, 9]","{""color"": ""blue"", ""shape"": ""square""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6006,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","red | circle | 0 | small
blue | triangle | 1 | small
blue | triangle | 1 | medium
red | square | 1 | medium
yellow | square | 0 | medium
red | circle | 1 | large
yellow | triangle | 1 | medium
green | triangle | 1 | medium
red | square | 1 | medium
yellow | triangle | 1 | large
yellow | circle | 1 | small
green | circle | 1 | large
green | triangle | 0 | large
green | triangle | 1 | small
red | circle | 1 | small
green | triangle | 1 | medium","Count the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

red | circle | 0 | small
blue | triangle | 1 | small
blue | triangle | 1 | medium
red | square | 1 | medium
yellow | square | 0 | medium
red | circle | 1 | large
yellow | triangle | 1 | medium
green | triangle | 1 | medium
red | square | 1 | medium
yellow | triangle | 1 | large
yellow | circle | 1 | small
green | circle | 1 | large
green | triangle | 0 | large
green | triangle | 1 | small
red | circle | 1 | small
green | triangle | 1 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | circle | 0 | small
blue | triangle | 1 | small
blue | triangle | 1 | medium
red | square | 1 | medium
yellow | square | 0 | medium
red | circle | 1 | large
yellow | triangle | 1 | medium
green | triangle | 1 | medium
red | square | 1 | medium
yellow | triangle | 1 | large
yellow | circle | 1 | small
green | circle | 1 | large
green | triangle | 0 | large
green | triangle | 1 | small
red | circle | 1 | small
green | triangle | 1 | medium",3,"[1, 6, 15]","{""color"": ""red"", ""shape"": ""circle""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6007,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=green, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","green | square | 1 | medium
yellow | triangle | 0 | large
blue | circle | 1 | medium
yellow | triangle | 0 | medium
yellow | triangle | 0 | medium
green | triangle | 0 | small
green | circle | 1 | small
yellow | triangle | 0 | medium
yellow | triangle | 0 | large
red | triangle | 1 | large
blue | square | 0 | large
yellow | square | 1 | medium
blue | circle | 0 | large
green | square | 1 | small
yellow | triangle | 0 | medium
green | square | 1 | large","Count the entries matching all of the following attributes: color=green, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

green | square | 1 | medium
yellow | triangle | 0 | large
blue | circle | 1 | medium
yellow | triangle | 0 | medium
yellow | triangle | 0 | medium
green | triangle | 0 | small
green | circle | 1 | small
yellow | triangle | 0 | medium
yellow | triangle | 0 | large
red | triangle | 1 | large
blue | square | 0 | large
yellow | square | 1 | medium
blue | circle | 0 | large
green | square | 1 | small
yellow | triangle | 0 | medium
green | square | 1 | large","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | square | 1 | medium
yellow | triangle | 0 | large
blue | circle | 1 | medium
yellow | triangle | 0 | medium
yellow | triangle | 0 | medium
green | triangle | 0 | small
green | circle | 1 | small
yellow | triangle | 0 | medium
yellow | triangle | 0 | large
red | triangle | 1 | large
blue | square | 0 | large
yellow | square | 1 | medium
blue | circle | 0 | large
green | square | 1 | small
yellow | triangle | 0 | medium
green | square | 1 | large",3,"[1, 14, 16]","{""color"": ""green"", ""shape"": ""square""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6008,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","green | square | 1 | small
blue | square | 0 | small
green | triangle | 0 | medium
blue | circle | 0 | large
green | square | 1 | large
yellow | triangle | 1 | small
blue | circle | 0 | large
blue | square | 1 | medium
red | circle | 0 | small
green | triangle | 0 | small
red | circle | 1 | medium
green | circle | 1 | medium
yellow | triangle | 0 | medium
red | circle | 1 | medium
blue | square | 1 | medium
green | triangle | 1 | large","Count the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

green | square | 1 | small
blue | square | 0 | small
green | triangle | 0 | medium
blue | circle | 0 | large
green | square | 1 | large
yellow | triangle | 1 | small
blue | circle | 0 | large
blue | square | 1 | medium
red | circle | 0 | small
green | triangle | 0 | small
red | circle | 1 | medium
green | circle | 1 | medium
yellow | triangle | 0 | medium
red | circle | 1 | medium
blue | square | 1 | medium
green | triangle | 1 | large","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=square.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | square | 1 | small
blue | square | 0 | small
green | triangle | 0 | medium
blue | circle | 0 | large
green | square | 1 | large
yellow | triangle | 1 | small
blue | circle | 0 | large
blue | square | 1 | medium
red | circle | 0 | small
green | triangle | 0 | small
red | circle | 1 | medium
green | circle | 1 | medium
yellow | triangle | 0 | medium
red | circle | 1 | medium
blue | square | 1 | medium
green | triangle | 1 | large",3,"[2, 8, 15]","{""color"": ""blue"", ""shape"": ""square""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6009,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","red | triangle | 1 | large
red | circle | 0 | small
yellow | square | 0 | large
yellow | square | 0 | medium
red | triangle | 0 | small
blue | circle | 1 | large
green | circle | 1 | large
blue | triangle | 1 | small
red | circle | 1 | large
blue | square | 0 | medium
red | square | 0 | large
blue | triangle | 1 | medium
blue | triangle | 1 | large
yellow | circle | 1 | large
green | square | 0 | small
red | square | 1 | medium","Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

red | triangle | 1 | large
red | circle | 0 | small
yellow | square | 0 | large
yellow | square | 0 | medium
red | triangle | 0 | small
blue | circle | 1 | large
green | circle | 1 | large
blue | triangle | 1 | small
red | circle | 1 | large
blue | square | 0 | medium
red | square | 0 | large
blue | triangle | 1 | medium
blue | triangle | 1 | large
yellow | circle | 1 | large
green | square | 0 | small
red | square | 1 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | triangle | 1 | large
red | circle | 0 | small
yellow | square | 0 | large
yellow | square | 0 | medium
red | triangle | 0 | small
blue | circle | 1 | large
green | circle | 1 | large
blue | triangle | 1 | small
red | circle | 1 | large
blue | square | 0 | medium
red | square | 0 | large
blue | triangle | 1 | medium
blue | triangle | 1 | large
yellow | circle | 1 | large
green | square | 0 | small
red | square | 1 | medium",3,"[8, 12, 13]","{""color"": ""blue"", ""shape"": ""triangle""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6010,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=green, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | square | 0 | medium
green | triangle | 0 | small
green | square | 1 | large
green | triangle | 1 | medium
red | triangle | 1 | medium
yellow | circle | 0 | small
blue | circle | 1 | medium
red | circle | 1 | medium
red | square | 0 | large
green | circle | 1 | small
blue | circle | 0 | small
yellow | circle | 1 | medium
blue | circle | 0 | medium
green | triangle | 1 | large
blue | circle | 0 | large
red | triangle | 1 | medium","Count the entries matching all of the following attributes: color=green, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

yellow | square | 0 | medium
green | triangle | 0 | small
green | square | 1 | large
green | triangle | 1 | medium
red | triangle | 1 | medium
yellow | circle | 0 | small
blue | circle | 1 | medium
red | circle | 1 | medium
red | square | 0 | large
green | circle | 1 | small
blue | circle | 0 | small
yellow | circle | 1 | medium
blue | circle | 0 | medium
green | triangle | 1 | large
blue | circle | 0 | large
red | triangle | 1 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | square | 0 | medium
green | triangle | 0 | small
green | square | 1 | large
green | triangle | 1 | medium
red | triangle | 1 | medium
yellow | circle | 0 | small
blue | circle | 1 | medium
red | circle | 1 | medium
red | square | 0 | large
green | circle | 1 | small
blue | circle | 0 | small
yellow | circle | 1 | medium
blue | circle | 0 | medium
green | triangle | 1 | large
blue | circle | 0 | large
red | triangle | 1 | medium",3,"[2, 4, 14]","{""color"": ""green"", ""shape"": ""triangle""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6011,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","blue | triangle | 0 | large
green | triangle | 1 | small
red | circle | 0 | medium
yellow | triangle | 0 | small
red | square | 0 | small
blue | square | 1 | medium
yellow | square | 1 | small
blue | square | 1 | medium
blue | circle | 1 | large
yellow | square | 0 | medium
green | circle | 0 | medium
green | circle | 1 | small
blue | triangle | 0 | large
green | triangle | 0 | medium
yellow | square | 1 | medium
green | circle | 1 | medium","Count the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

blue | triangle | 0 | large
green | triangle | 1 | small
red | circle | 0 | medium
yellow | triangle | 0 | small
red | square | 0 | small
blue | square | 1 | medium
yellow | square | 1 | small
blue | square | 1 | medium
blue | circle | 1 | large
yellow | square | 0 | medium
green | circle | 0 | medium
green | circle | 1 | small
blue | triangle | 0 | large
green | triangle | 0 | medium
yellow | square | 1 | medium
green | circle | 1 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=green, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | triangle | 0 | large
green | triangle | 1 | small
red | circle | 0 | medium
yellow | triangle | 0 | small
red | square | 0 | small
blue | square | 1 | medium
yellow | square | 1 | small
blue | square | 1 | medium
blue | circle | 1 | large
yellow | square | 0 | medium
green | circle | 0 | medium
green | circle | 1 | small
blue | triangle | 0 | large
green | triangle | 0 | medium
yellow | square | 1 | medium
green | circle | 1 | medium",3,"[11, 12, 16]","{""color"": ""green"", ""shape"": ""circle""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6012,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","blue | triangle | 0 | large
red | triangle | 0 | small
yellow | square | 0 | small
blue | triangle | 0 | medium
yellow | square | 1 | small
green | circle | 0 | medium
yellow | triangle | 1 | large
blue | square | 0 | large
yellow | square | 1 | large
green | square | 0 | medium
green | square | 1 | large
yellow | circle | 1 | small
red | circle | 1 | medium
blue | triangle | 0 | medium
yellow | square | 0 | medium
blue | circle | 0 | small","Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

blue | triangle | 0 | large
red | triangle | 0 | small
yellow | square | 0 | small
blue | triangle | 0 | medium
yellow | square | 1 | small
green | circle | 0 | medium
yellow | triangle | 1 | large
blue | square | 0 | large
yellow | square | 1 | large
green | square | 0 | medium
green | square | 1 | large
yellow | circle | 1 | small
red | circle | 1 | medium
blue | triangle | 0 | medium
yellow | square | 0 | medium
blue | circle | 0 | small","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | triangle | 0 | large
red | triangle | 0 | small
yellow | square | 0 | small
blue | triangle | 0 | medium
yellow | square | 1 | small
green | circle | 0 | medium
yellow | triangle | 1 | large
blue | square | 0 | large
yellow | square | 1 | large
green | square | 0 | medium
green | square | 1 | large
yellow | circle | 1 | small
red | circle | 1 | medium
blue | triangle | 0 | medium
yellow | square | 0 | medium
blue | circle | 0 | small",3,"[1, 4, 14]","{""color"": ""blue"", ""shape"": ""triangle""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6013,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | circle | 0 | large
green | triangle | 0 | large
yellow | square | 0 | small
green | circle | 0 | medium
blue | triangle | 1 | medium
yellow | circle | 0 | small
blue | circle | 0 | small
red | circle | 1 | large
green | triangle | 1 | small
red | square | 0 | small
yellow | square | 0 | large
blue | triangle | 0 | small
blue | triangle | 1 | large
yellow | circle | 1 | large
red | circle | 1 | large
blue | circle | 0 | large","Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

yellow | circle | 0 | large
green | triangle | 0 | large
yellow | square | 0 | small
green | circle | 0 | medium
blue | triangle | 1 | medium
yellow | circle | 0 | small
blue | circle | 0 | small
red | circle | 1 | large
green | triangle | 1 | small
red | square | 0 | small
yellow | square | 0 | large
blue | triangle | 0 | small
blue | triangle | 1 | large
yellow | circle | 1 | large
red | circle | 1 | large
blue | circle | 0 | large","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | circle | 0 | large
green | triangle | 0 | large
yellow | square | 0 | small
green | circle | 0 | medium
blue | triangle | 1 | medium
yellow | circle | 0 | small
blue | circle | 0 | small
red | circle | 1 | large
green | triangle | 1 | small
red | square | 0 | small
yellow | square | 0 | large
blue | triangle | 0 | small
blue | triangle | 1 | large
yellow | circle | 1 | large
red | circle | 1 | large
blue | circle | 0 | large",3,"[5, 12, 13]","{""color"": ""blue"", ""shape"": ""triangle""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6014,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","yellow | square | 0 | small
blue | circle | 1 | large
red | square | 1 | medium
blue | square | 1 | large
red | triangle | 1 | large
blue | circle | 1 | small
blue | circle | 1 | small
yellow | triangle | 0 | small
blue | circle | 1 | large
yellow | triangle | 0 | large
red | triangle | 1 | medium
green | circle | 0 | large
red | circle | 1 | medium
blue | circle | 1 | medium
yellow | circle | 1 | large
red | triangle | 1 | large","Count the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

yellow | square | 0 | small
blue | circle | 1 | large
red | square | 1 | medium
blue | square | 1 | large
red | triangle | 1 | large
blue | circle | 1 | small
blue | circle | 1 | small
yellow | triangle | 0 | small
blue | circle | 1 | large
yellow | triangle | 0 | large
red | triangle | 1 | medium
green | circle | 0 | large
red | circle | 1 | medium
blue | circle | 1 | medium
yellow | circle | 1 | large
red | triangle | 1 | large","Return the line numbers (1-based) of the entries matching all of the following attributes: color=red, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | square | 0 | small
blue | circle | 1 | large
red | square | 1 | medium
blue | square | 1 | large
red | triangle | 1 | large
blue | circle | 1 | small
blue | circle | 1 | small
yellow | triangle | 0 | small
blue | circle | 1 | large
yellow | triangle | 0 | large
red | triangle | 1 | medium
green | circle | 0 | large
red | circle | 1 | medium
blue | circle | 1 | medium
yellow | circle | 1 | large
red | triangle | 1 | large",3,"[5, 11, 16]","{""color"": ""red"", ""shape"": ""triangle""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6015,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=blue, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","red | triangle | 1 | medium
blue | circle | 0 | large
red | circle | 0 | small
blue | circle | 1 | small
red | square | 1 | large
blue | square | 1 | small
red | triangle | 0 | large
blue | square | 1 | medium
red | triangle | 1 | large
yellow | square | 1 | medium
yellow | triangle | 0 | medium
blue | circle | 1 | medium
green | square | 1 | large
red | square | 0 | large
red | circle | 0 | small
yellow | triangle | 0 | large","Count the entries matching all of the following attributes: color=blue, shape=circle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

red | triangle | 1 | medium
blue | circle | 0 | large
red | circle | 0 | small
blue | circle | 1 | small
red | square | 1 | large
blue | square | 1 | small
red | triangle | 0 | large
blue | square | 1 | medium
red | triangle | 1 | large
yellow | square | 1 | medium
yellow | triangle | 0 | medium
blue | circle | 1 | medium
green | square | 1 | large
red | square | 0 | large
red | circle | 0 | small
yellow | triangle | 0 | large","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=circle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | triangle | 1 | medium
blue | circle | 0 | large
red | circle | 0 | small
blue | circle | 1 | small
red | square | 1 | large
blue | square | 1 | small
red | triangle | 0 | large
blue | square | 1 | medium
red | triangle | 1 | large
yellow | square | 1 | medium
yellow | triangle | 0 | medium
blue | circle | 1 | medium
green | square | 1 | large
red | square | 0 | large
red | circle | 0 | small
yellow | triangle | 0 | large",3,"[2, 4, 12]","{""color"": ""blue"", ""shape"": ""circle""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
6016,easy,combined,easy,count,"Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","blue | circle | 1 | small
red | circle | 0 | small
yellow | circle | 1 | medium
blue | circle | 1 | medium
red | square | 0 | small
green | square | 0 | large
yellow | square | 0 | small
red | circle | 1 | large
yellow | square | 0 | medium
yellow | square | 0 | small
red | triangle | 0 | small
green | square | 0 | medium
blue | triangle | 0 | large
yellow | triangle | 0 | large
blue | triangle | 0 | large
blue | triangle | 0 | medium","Count the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""count"": <integer>}.
Rules:
- ""count"" must be an integer
- Return only the JSON object

blue | circle | 1 | small
red | circle | 0 | small
yellow | circle | 1 | medium
blue | circle | 1 | medium
red | square | 0 | small
green | square | 0 | large
yellow | square | 0 | small
red | circle | 1 | large
yellow | square | 0 | medium
yellow | square | 0 | small
red | triangle | 0 | small
green | square | 0 | medium
blue | triangle | 0 | large
yellow | triangle | 0 | large
blue | triangle | 0 | large
blue | triangle | 0 | medium","Return the line numbers (1-based) of the entries matching all of the following attributes: color=blue, shape=triangle.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | circle | 1 | small
red | circle | 0 | small
yellow | circle | 1 | medium
blue | circle | 1 | medium
red | square | 0 | small
green | square | 0 | large
yellow | square | 0 | small
red | circle | 1 | large
yellow | square | 0 | medium
yellow | square | 0 | small
red | triangle | 0 | small
green | square | 0 | medium
blue | triangle | 0 | large
yellow | triangle | 0 | large
blue | triangle | 0 | large
blue | triangle | 0 | medium",3,"[13, 15, 16]","{""color"": ""blue"", ""shape"": ""triangle""}",16,2,3,"[""color"", ""shape"", ""marker"", ""size""]","[""color"", ""shape""]","[""marker"", ""size""]",2,2,0,0,0,9
